,Address,City,Beds,Full-Baths,Half-Baths,Area,Price
0,637 B Warwick Street,E. New York NY 11207,8,3,,,"$849,000"
1,415 Argyle Rd #7T,Brooklyn NY 11218,1,1,,,"$478,000"
2,6 Terrace Place,Brooklyn NY 11218,9,4,,,"$2,595,000"
3,454 Jefferson Avenue,Brooklyn NY 11221,5,4,1,,"$1,995,000"
4,34 Plaza St E 1207,Brooklyn NY 11238,2,2,,,"$1,750,000"
5,429 Kent Avenue 703,Brooklyn NY 11249,2,2,1,,"$1,400,000"
6,2275 Ryder Street,Brooklyn NY 11234,8,3,1,"3,384 sq. ft","$1,289,000"
7,556 East 86th Street,Brooklyn NY 11236,5,4,1,"3,196 sq. ft","$960,000"
8,1326 East 55 Street,Brooklyn NY 11234,5,2,1,"2,400 sq. ft","$869,000"
9,81 East 54th Street,Brooklyn NY 11203,3,2,,,"$635,000"
10,2052 71st Street,Brooklyn NY 11204,4,2,,"1,624 sq. ft","$1,350,000"
11,515-517 Georgia Avenue,E. New York NY 11207,,,,,"$1,600,000"
12,6409 11th Ave,Brooklyn NY 11219,3,3,,"3,100 sq. ft","$1,595,000"
13,83 Woodhull Street 2,Carroll Gardens NY 11231,2,2,,,"$1,299,000"
14,68 Sutton Street,Greenpoint NY 11222,12,6,1,,"$1,280,000"
15,408 Saint Johns Place 6-D,Brooklyn NY 11239,3,2,,,"$1,150,000"
16,2456 east 71st street,Brooklyn NY 11234,4,2,1,"2,172 sq. ft","$980,000"
17,171 Greene Avenue 2,New York City NY 11238,2,1,,,"$899,000"
18,171 Greene Avenue 2,Brooklyn NY 11238,2,1,,800 sq. ft,"$899,000"
19,2817 Avenue Y,Brooklyn NY 11235,3,1,1,"2,100 sq. ft","$885,000"
